title,artist,image_url,image_path
Jael and Sisera,Giuseppe Vermiglio (1585-1635),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giuseppe-Vermiglio-Giaele-e-Sisara-806x1024.jpg,ambrosiana_images/Jael_and_Sisera.jpg
Judith and Holofernes,Giuseppe Vermiglio (1585-1635),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giuseppe-Vermiglio-Giuditta-e-Oloferne-761x1024.jpg,ambrosiana_images/Judith_and_Holofernes.jpg
Allegorical Female Figure,Giovanni Serodine (1600-1631),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Serodine-Figura-femminile-allegorica-1024x725.jpg,ambrosiana_images/Allegorical_Female_Figure.jpg
Winter Landscape with Skaters,Hendrick Avercamp (1585-1634),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Hendrick-Avercamp-Paesaggio-invernale-1024x648.jpg,ambrosiana_images/Winter_Landscape_with_Skaters.jpg
Still Life with Fruit,Isaac Soreau (1604-1638),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Isaac-Soreau-Natura-Morta-con-Frutti-1024x772.jpg,ambrosiana_images/Still_Life_with_Fruit.jpg
Still Life with Fruit,Isaac Soreau (1604-1638),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Isaac-Soreau-Natura-morta-1024x742.jpg,ambrosiana_images/Still_Life_with_Fruit.jpg
Mary Magdalene Penitent,Guido Reni (1575-1642),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Guido-Reni-La-Maddalena-penitente-688x1024.jpg,ambrosiana_images/Mary_Magdalene_Penitent.jpg
Adam and Eve in the Garden of Eden,Jan II Brueghel il Giovane (1601-1678),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Jan-II-Brueghel-il-Giovane-Cacciata-dal-Paradiso-terrestre-1024x594.jpg,ambrosiana_images/Adam_and_Eve_in_the_Garden_of_Eden.jpg
The Wedding of Peleus and Thetis,Ambito di Francesco Albani (1578-1660),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Ambito-di-Francesco-Albani-Trionfo-di-Galatea-2-1024x696.jpg,ambrosiana_images/The_Wedding_of_Peleus_and_Thetis.jpg
Mercury and Argus,Anonimo genovese (XVII secolo),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Anonimo-genovese-Mercurio-e-Argo-752x1024.jpg,ambrosiana_images/Mercury_and_Argus.jpg
Susanna at her Bath,Carlo Francesco Nuvolone (1609-1661),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Carlo-Francesco-Nuvolone-Susanna-al-bagno-1024x854.jpg,ambrosiana_images/Susanna_at_her_Bath.jpg
Still Life with Musical Instruments,Evaristo Baschenis (1617-1677),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Evaristo-Baschenis-Natura-morta-con-strumenti-musicali-1024x659.jpg,ambrosiana_images/Still_Life_with_Musical_Instruments.jpg
The Presentation of Christ in the Temple,Pietro Antonio Magatti (1691-1767),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Pietro-Antonio-Magatti-Presentazione-di-Gesu-al-Tempio-881x1024.jpg,ambrosiana_images/The_Presentation_of_Christ_in_the_Temple.jpg
Portrait of a Young Man,Vittore Ghislandi detto Frà Galgario (1655-1743),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Vittore-Ghislandi-detto-Fra-Galgario-Ritratto-di-giovane-784x1024.jpg,ambrosiana_images/Portrait_of_a_Young_Man.jpg
Moses and the Brazen Serpent,Cesare Ligari (1716-1770),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Cesare-Ligari-Mose-e-il-serpente-di-bronzo-1024x793.jpg,ambrosiana_images/Moses_and_the_Brazen_Serpent.jpg
Kids and Lambs,Francesco Londonio (1723-1783),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Londonio-Caprette-e-agnelli-1-1024x756.jpg,ambrosiana_images/Kids_and_Lambs.jpg
The Presentation of Christ in the Temple,Giandomenico Tiepolo (1727-1804),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giandomenico-Tiepolo-Presentazione-di-Gesu-al-Tempio-1024x781.jpg,ambrosiana_images/The_Presentation_of_Christ_in_the_Temple.jpg
Portrait of Peter Leopold of Habsburg-Lorraine (later Leopold II),Anton Raphael Mengs (1728-1779),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Ritratto-di-Leopoldo-II-d-Asburgo-Lorena-Anton-Raphael-Mengs-831x1024.jpg,ambrosiana_images/Portrait_of_Peter_Leopold_of_Habsburg-Lorraine_(later_Leopold_II).jpg
Portrait of Napoleon King of Italy,Andrea Appiani (1754-1817),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Andrea-Appiani-Ritratto-Napoleone-Re-Italia-776x1024.jpg,ambrosiana_images/Portrait_of_Napoleon_King_of_Italy.jpg
Self Portrait,Bertel Thorvaldsen (1770-1844),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Bertel-Thorvaldsen-Autoritratto-446x1024.jpg,ambrosiana_images/Self_Portrait.jpg
Portico in Ruins,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Portico-in-rovina-1024x908.jpg,ambrosiana_images/Portico_in_Ruins.jpg
Self Portrait,Antonio Canova (1757-1822),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Antonio-Canova-Autoritratto-482x1024.jpg,ambrosiana_images/Self_Portrait.jpg
Napoleon Bonaparte’s gloves,NA,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Guanti-di-Napoleone-Bonaparte-834x1024.jpg,ambrosiana_images/Napoleon_Bonaparte’s_gloves.jpg
Apse of San Satiro and View of the Duomo,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Abside-di-San-Satiro-e-veduta-del-Duomo-782x1024.jpg,ambrosiana_images/Apse_of_San_Satiro_and_View_of_the_Duomo.jpg
Portrait of a Young Girl with a Dove,Natale Schiavoni (1777-1858),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Natale-Schiavoni-Ritratto-di-giovane-con-colomba-822x1024.jpg,ambrosiana_images/Portrait_of_a_Young_Girl_with_a_Dove.jpg
The Arco della Pace in Milan,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Arco-della-Pace-a-Milano-1024x773.jpg,ambrosiana_images/The_Arco_della_Pace_in_Milan.jpg
View of the Interior of the Duomo,Giovanni Migliara (1785-1837),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giovanni-Migliara-Scorcio-all-Interno-del-Duomo-740x1024.jpg,ambrosiana_images/View_of_the_Interior_of_the_Duomo.jpg
Dantesque window,Giuseppe Bertini (1825-1898),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Giuseppe-Bertini-Vetrata-dantesca-768x1024.jpg,ambrosiana_images/Dantesque_window.jpg
Portrait of Emilia Morosini Zeltner,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Emilia-Morosini-Zeltner-823x1024.jpg,ambrosiana_images/Portrait_of_Emilia_Morosini_Zeltner.jpg
Portrait of Giuseppina Negroni Prati Morosini,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Giuseppina-Negroni-Prati-Morosini-802x1024.jpg,ambrosiana_images/Portrait_of_Giuseppina_Negroni_Prati_Morosini.jpg
Portrait of Alessandro Negroni Prati Morosini,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Alessandro-Negroni-Prati-795x1024.jpg,ambrosiana_images/Portrait_of_Alessandro_Negroni_Prati_Morosini.jpg
Portrait of Giovanni Battista Morosini,Francesco Hayez (1791-1882),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Francesco-Hayez-Ritratto-di-Giovanni-Battista-Morosini-803x1024.jpg,ambrosiana_images/Portrait_of_Giovanni_Battista_Morosini.jpg
Locked out of school,Emilio Longoni (1859-1932),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Emilio-Longoni-Chiusi-fuori-scuola-594x1024.jpg,ambrosiana_images/Locked_out_of_school.jpg
Washerwomen at the Canal,Emilio Gola (1851-1923),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Emilio-Gola-Le-lavandaie-sul-Naviglio-1024x736.jpg,ambrosiana_images/Washerwomen_at_the_Canal.jpg
Maternity,Mosè Bianchi (1840-1904),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Mose-Bianchi-Maternita-652x1024.jpg,ambrosiana_images/Maternity.jpg
Flowers and Roses,Gaetano Previati (1852-1920),https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Gaetano-Previati-Rose-1024x688.jpg,ambrosiana_images/Flowers_and_Roses.jpg
Display case with the hair of Lucrezia Borgia,Alfredo Ravasco,https://ambrosiana.it/wp-content/uploads/2018/11/Ambrosiana-Capelli-di-Lucrezia-Borgia-1-695x1024.jpg,ambrosiana_images/Display_case_with_the_hair_of_Lucrezia_Borgia.jpg
